OBJECTID,artistLastName,artistFirstName,image,titleOfArtwork,dateOfArtwork,medium,zipcodes,locationOfArtwork,addressOfArtwork,publicSchoolNumber,siteOfArtwork,descriptionOfArtwork,visibility,indoorOutdoorAccessible,monument,location,F2010_Census_Neighborhoods,F2010_Census_Wards_Precincts,Zip_Codes,GlobalID
438,Noguchi,Isamu,,Untitled,,,21218,The Wurtzburger Sculpture Garden,10 Art Museum Drive,,,,,,,"10 Art Museum Drive21218
(39.325933943522045, -76.61823238229022)",123,13,27307,731a9cf3-7cef-4f96-bc1a-fa667be2c8e9
439,Rogers,Terry P.,,Unknown,1981,mural,21202,Civil Services Renovation,111 N. Calvert St.,,Interior,,,,,"111 N. Calvert St.21202
(39.29078843861703, -76.61229685689682)",65,6,13645,f8dca2d8-d6ce-4977-955e-f774d2a15d5c
440,Ferguson,Robert,,Citisphere,1979,stainless steel,21218,Baltimore City College,33rd St. and The Alameda,PS 480,East courtyard,,,,,"33rd St. and The Alameda21218
(39.32849701130556, -76.59533564342422)",77,186,27307,753b5bfa-f8f1-41d4-a704-55ee4fc7ab71
441,unknown,,,sun dial,1933,,21230,Carroll Park,Caroll Park,,Rear of Mt. Claire mansion,,,,,"Caroll Park21230
(39.28203353866178, -76.6312635584948)",250,168,27953,f2446e4b-2d76-4ce9-89f6-6b3eb0c6ff18
442,Ellsberry,John,,,1998,mural,21230,Ramsay and Cross Sts.,Ramsay and Cross Sts.,,Side of Baltimore and Ohio Railroad Museum,"Train; three figures working",Visible,,,"Ramsay and Cross Sts.21230
(39.266940000000034, -76.62630000000001)",258,151,27953,8582439d-eae1-4bf1-9004-9ce861b74463
443,Cea,Dominic,,Atlantic Blue Roller Column or Interlocking Piece ,1977,painted steel,,Russell St. Median strip,Russell St.,,Median strip near Oriole Park,,,,,Russell St.,,,,d35ac677-a625-47ee-b155-07318e5fc00b
444,Gavin,Chris,,Unknown,,painted steel,21210,Roland Park E/MS,5207 Roland Ave.,PS 233,Auditorium,,,,,"5207 Roland Ave.21210
(39.35696055353293, -76.63479789406995)",265,254,14004,eb1d7e1c-b301-4e70-954e-041d9262a119
445,Mercie,Jean M.A.,,Francis Scott Key Monument,1911,,21217,Eutaw Place,1280 Eutaw Pl,,,,,,Y,"1280 Eutaw Pl21217
(39.30358891907117, -76.62606168814928)",144,94,27301,11301a66-8261-4303-9a84-4d17b774f81e
446,Russum,Jean,,Unknown,1968,cast stone,21213,Furley ES,4633 Furley Ave.,PS 206,Top of building,,,,,"4633 Furley Ave.21213
(39.316199999999924, -76.57662999999991)",276,194,26956,2f288214-8149-4ca2-a266-907f6daede6b
447,Evans,John,,Baltimore Gas and Electric Building frieze,,,21202,Charles Center,Charles Center,,,,,,,"Charles Center21202
(39.297300000000064, -76.60749999999996)",196,108,13645,e267d004-7e4c-4d2b-9109-9cf2ce1a1386
448,Wilson,Edward N.,,Unknown,1970,metal sculpture,21213,Lake Clifton HS,2801 St. Lo Dr.,PS  40,Interior,,,,,"2801 St. Lo Dr.21213
(39.31751628932784, -76.58839287735805)",53,198,26956,0ec60102-03b7-4538-b783-d213594973db
449,unknown,,,The Young Seated Mercury,,,21218,Baltimore Museum of Art,10 Art Museum Dr.,,West garden,,,,,"10 Art Museum Dr.21218
(39.325933943522045, -76.61823238229022)",123,13,27307,575ff28b-cdc0-42d8-a3f4-6bba27a29dc7
450,Baumstark,Gustave,https://data.baltimorecity.gov/views/5xsg-uc29/files/tE24Y3F7a1E9QdG7luYIbkzIgApfOCgJ44m1HQsVhss?filename=564_Baumstark_1903.jpg,Unknown,1903,stainglass,21202,Alexander Brown & Sons,135 E. Baltimore St.,,Dome,,,,,"135 E. Baltimore St.21202
(39.28958334709779, -76.61251269418386)",65,6,13645,68eeb88a-8a72-4745-866a-4e8bf640376c
451,Scuris,Theodore,,Give Peace A Chance,1970,aluminum,21218,Johns Hopkins University,N. Charles St.,,"Wyman Quad ""lower quad'",,,,Y,"N. Charles St.21218
(39.33912699769189, -76.61835828737432)",99,28,27307,b7bd6d31-2946-42ad-986c-0431ecf093c0
452,Goldstein,Gladys,,Unknown,1976,mural,21230,Morrell Park ES,2400 Washington Blvd.,PS 220,Interior,,,,,"2400 Washington Blvd.21230
(39.26841045472528, -76.65057636750728)",162,164,27953,c1bb852a-ebc1-4efd-932c-b1d712246721
453,DePalma,Linda,https://data.baltimorecity.gov/views/5xsg-uc29/files/vnlHmlLcKA8HUsxr6ckc1ZDIj0WB7_TmmLFdHdl3fZk?filename=30_DePalma+L_1987.JPG,Ground Play,1987,"concrete, aluminum, steel",21208,Old Court Station (Metro),4400 Old Court Road,,"Flood plane, between tracks and parking lot","largescale site work with checkerboard, whirled ground, a child's figure, ball, and two columns supporting a chair and man figure.",moderately visible,Outdoor acessible,,"4400 Old Court Road21208
(39.37076277976509, -76.74324870143664)",,,13998,ee8ee8ec-4360-41af-8fa8-74a9726b4306
454,Lais,Sami,,Unknown,1978,fabric wall hanging,21218,Baltimore City College,33rd St. and The Alameda,PS 480,Interior,,,,,"33rd St. and The Alameda21218
(39.32849701130556, -76.59533564342422)",77,186,27307,0e3e33e8-5f4b-4432-a060-f3932b082da8
455,Majorowicz,Roger,,Unknown,1973,sheet bronze doors,21215,Greenspring Jr. HS,Greenspring and Woodland Aves.,PS  82,May have been relocated to interior,,,,,"Greenspring and Woodland Aves.21215
(39.34556999999995, -76.68362000000002)",5,244,27295,550841b5-d72b-432c-a95f-832b28e68def
456,Ono,Setsuko,https://data.baltimorecity.gov/views/5xsg-uc29/files/igb7NpUx4tdvtXeAb-Vq82eWvfMcfQ_tKFhrBTN3RKU?filename=754a_Ono+S_2005.jpg,Good News! Earth Is Dancing,2005,painted steel,21201,Convention Center,1 Pratt St.,,"Exhibition Hall E, Upstairs near café",3 self standing red and silver dancing figures,Not very visible in rear corner of café,Indoor Accessible,,"1 Pratt St.21201
(39.286434077725616, -76.61514965903694)",241,3,13642,182c5953-c01f-46f5-ae70-45ec428820d6
457,Kissack and Ross,Lyle and Gerald,,,1995,mural,21215,4000 Park Heights Ave.,4000 Park Heights Ave.,,Side of building,"People from community linked, forming a pyramid",Very visible,,,"4000 Park Heights Ave.21215
(39.33472931296865, -76.66280278206233)",43,70,27295,6be74c75-cd79-48cf-9e12-b992a9449f7c
458,Owen,Michael,,,2008,mural,21218,Giant Foods at 33rd and Greenmount,601 East 33rd Street,,two murals on side of building,"collage of various figures, foliage, and birds","Very Visible, facing side street on Greenmount",,,"601 East 33rd Street21218
(39.328317146899735, -76.6077462874286)",251,181,27307,6609f312-54bc-44a9-ace8-8b0d99c8800d
459,Goodman,Seth,,,2008,mural,21202,"JFX Farmers Market, parking lot",212 Holliday Street,,column in parking lot,"abstract design, cellular pink and grey",Visible in corner area,,,"212 Holliday Street21202
(39.29146211325886, -76.61031346272442)",65,6,13645,7ba1760c-4898-4583-8faf-38db1b87d96c
460,unknown,,,"""Calvert Street Bridge"" Lions (3)",1879,Sandstone,21217,Lanvale St. Park in Bolton Hill,Lanvale Street Park,,,,,,,"Lanvale Street Park21217
(39.31194000000011, -76.64039000000002)",195,19,27301,28796730-8da0-4a75-8f2e-c39f994a21ab
461,Streckfus,Leonard,https://data.baltimorecity.gov/views/5xsg-uc29/files/10GFHWo8kdORKZNa1nJyRxRIFTuK1ZQPWIk3NQJik7o?filename=406b_Streckfus+L_1991.jpg,"""Dolphin Fountain""",1991,bronze,21201,National Aquarium - mammal pavillion,501 E. Pratt Street,,"Mammal pavillion, across bridge to Pier 4","5 dolphins jumping in large, angular fountain",Moderately visible,Outdoor accessible,Y,"501 E. Pratt Street21201
(39.286191279861015, -76.62208503141323)",241,1,13642,4cc35062-7361-4235-bacb-2520a66877be
462,"Godefroy, architect and Capellano, sculptor",Maximilien and Antonio,https://data.baltimorecity.gov/views/5xsg-uc29/files/zurLimpTJQtaB_xAJL3BYkOg6h4n5m6yzXbnoGGDFEM?filename=321_Godefroy+1815.jpg,The Battle Monument,1815-25,marble,21202,Calvert St. and Fayette St.,Calvert St. and Fayette St.,,Calvert and Fayette Sts.,,,,Y,"Calvert St. and Fayette St.21202
(39.297300000000064, -76.60749999999996)",196,108,13645,36ba4b64-7a81-4178-929a-af2f3a8fa8d4
463,Golde,R.P.,,Wagner,1900,bronze,21217,Druid Hill Park,Druid Hill Park,,Lawn of mansion,,,,Y,"Druid Hill Park21217
(39.316007473609055, -76.64384898808959)",190,21,27301,750c77fb-8554-49f9-9fd8-0d433cc3ef18
464,Gibbs,Nathaniel,,The Arts,1984/02,oil/canvas,21217,Frederick Douglass HS,2301 Gwynns Falls Pkwy.,PS 450,Lower level hallway,,,,,"2301 Gwynns Falls Pkwy.21217
(39.31568167238805, -76.65537438210032)",157,40,27297,c1ae4082-1127-455c-a91e-412234de92d2
465,Stevenson,D.W.,,Wallace Monument,1890,bronze,21217,Druid Hill Park,Druid Hill Park,,Lake drive,,,,Y,"Druid Hill Park21217
(39.316007473609055, -76.64384898808959)",190,21,27301,fdfa6443-e004-4945-905f-5b18f9ff8cd6
466,Aycock,Alice,https://data.baltimorecity.gov/views/5xsg-uc29/files/BzyTnpL2_oPYNIwGEkQNlIrVhvg8BzZlpu6d0_yFgvA?filename=563_Aycock+A_2004.JPG,Swung Over,2004,stainless steel / aluminum?,21201,Fallon Federal Building,31 Hopkins Plaza,,Hopkins Plaza entrance,Gigantic musical instruments,Visible,Outdoor accessible,,"31 Hopkins Plaza21201
(39.289250243493235, -76.61627047323799)",65,6,13642,589790e7-ed27-4c30-a120-c5290eb4694f
467,Remington,Bill,,,2007,mural,21202,"JFX Farmers Market, parking lot",212 Holliday Street,,column in parking lot,one of many painted columns,Very Visible,,,"212 Holliday Street21202
(39.29146211325886, -76.61031346272442)",65,6,13645,78e09377-dbbf-4c10-8661-ec2e598ea768
468,Moore Jones,Chevelle M.,,,1988,mural,21223,Hollins Market Parking Lot,Hollins Market Parking Lot,,Side of wall above Hollins Market Parking Lot,Woman with dreads and funky/ happy colors,Visible,,,"Hollins Market Parking Lot21223
(39.28365000000008, -76.65196999999989)",36,279,27632,78494045-0dd5-447e-b2f9-9dc4f2fb05bc
469,Berge,Edward,,Colonel George Armistead Monument,1914,bronze,21230,Fort McHenry,Fort McHenry,,,,,,Y,"Fort McHenry21230
(39.266940000000034, -76.62630000000001)",258,151,27953,a3ecd726-a3c5-4d1e-b60a-572a6060bb73
470,Hanbury,Una,,Unknown,1967,sculpture,21201,Medical Examiners Building,111 Penn St.,,Interior,,,,,"111 Penn St.21201
(39.2873498103174, -76.62586208378553)",238,5,13642,fcd4d09f-8802-4a79-8795-3b0776823756
471,Rolph,Stafford,,The Forum Fountain,1975,concrete,21231,Paul Laurence Dunbar HS,1400 Orleans St.,,Behind the school,,,,,"1400 Orleans St.21231
(39.295132164018526, -76.59860917561087)",70,30,13987,84cd68ce-9e24-4c5b-b02f-8ba072bf2e86
472,Leizman,William,,Unknown,,weathering steel,21215,George W.F. McMechen Jr./Sr. High School,4411 Garrison Blvd.,PS 177,"Exterior; front lawn",,,,,"4411 Garrison Blvd.21215
(39.33727439431152, -76.68473724635697)",34,65,27295,fe296fc6-4191-4ce2-8c1a-67c4535c0342
473,Stewart and Urban Experience,Benari,,,2004,mural,21223,200 N. Bentalou St.,200 N. Bentalou St.,,Side of building,"Young boy in foreground; three children examing globe and MLK in background; ""It is a dream deeply rooted in the american dream.""",Limited visibility,,,"200 N. Bentalou St.21223
(39.29096830302291, -76.65301815838353)",197,80,27632,1e4747e1-c627-4669-9960-8e7cac426d8b
474,Mears,Mary Ann,,Boanerges,1976,corten steel,21206,North East MS,5001 Moravia Rd.,PS  49,Rear plaza,,,,,"5001 Moravia Rd.21206
(39.32495368251011, -76.55089114873624)",46,202,13991,ebe7f0b8-0dd4-48eb-a67e-881fe59d6849
475,Bertoia,Harry,,Unknown,1969,bronze and welded copper ,21213,Lake Clifton HS,2801 St. Lo Dr.,PS  40,Courtyard,,,,,"2801 St. Lo Dr.21213
(39.31751628932784, -76.58839287735805)",53,198,26956,ad08de7f-7d25-40cf-b6e8-bf2b2b077702
476,Streett,Tylden,,Unknown,1971,metal,21213,Brehms Lane ES,3536 Brehms Ln.,PS 231,Interior,,,,,"3536 Brehms Ln.21213
(39.32090673337831, -76.56642244018224)",275,199,26956,fa22ca62-2ff7-42a7-b832-1160591f8cf8
477,Mullen with Community Youth,Gary,,And Still We Rise,2001,mural,21223,N. Stricker and W. Franklin Sts.,N. Stricker and W. Franklin Sts.,,Side of building,"Depiction of the African American struggle to succeed, with ultimate success",Visible,,,"N. Stricker and W. Franklin Sts.21223
(39.28365000000008, -76.65196999999989)",36,279,27632,ed4ecef6-fb4b-4fc2-821b-9d6aa6ed72e0
478,Hurst,Lawrence,,Unknown,1984/02,oil/masonite,21217,Frederick Douglass HS,2301 Gwynns Falls Pkwy.,PS 450,"Interior; ceremonial lobby",,,,,"2301 Gwynns Falls Pkwy.21217
(39.31568167238805, -76.65537438210032)",157,40,27297,9c89c36b-c717-4193-ac1c-47af7d8c223d
479,Bufano,Benjamin,,Bactrian Camel,,,21218,Bufano Sculpture Garden,"Dunning Park, Johns Hopkins University",,,,,,,"Dunning Park, Johns Hopkins University21218
(39.32947000000013, -76.60331999999988)",77,186,27307,1d61276f-6454-432a-81d5-a7dd9327c5d8
480,Miller,Tom,,,1996,mural,21213,North and Harford Rds.,North and Harford Rds.,,Two murals on west and east side of Harford Rd. at North Ave.,"Two murals; man reading and boy playing",Very Visible (on Harford Rd.),,,"North and Harford Rds.21213
(39.316199999999924, -76.57662999999991)",276,194,26956,e76b79a8-4d12-43dd-8322-a173779ff288
481,Brown,Hilton,,Unknown,1977,mural,21229,Thomas Johnson ES and Recreation Center,1610 Johnson St.,PS  84,Interior,,,,,"1610 Johnson St.21229
(39.284350000000074, -76.69003999999995)",122,51,27950,020597f5-1895-483f-94c6-aaf80843661b
482,Berge,Edward,,Watson Monument,1903,bronze,21217,Mount Royal Terrace at North Ave.,Mount Royal Terrace at North Ave.,,Northwest corner of Mt. Royal and North Ave,,,,Y,"Mount Royal Terrace at North Ave.21217
(39.31194000000011, -76.64039000000002)",195,19,27301,80c2dd71-512e-4eb1-9f19-c09fe7d989fa
483,Edmister,Stan,,Untitled,1969,steel,21217,Maryland Institute College of Art/ Old Train Stion,1300 Mt. Royal Ave.,,Lawn of Old Train Station Bulding,,,,,"1300 Mt. Royal Ave.21217
(39.30750188439189, -76.62114988191786)",21,95,27301,4989b32f-07e8-4912-957d-178be2f27ca5
484,Kaslow,Lisa,,The Rescue,1992,steel,21207,Fire station Co.12 West Wall,3960 Liberty Heights Ave.,,West wall of station,"Fireman and woman; fireman entering building with fire truck below",Visible,,,"3960 Liberty Heights Ave.21207
(39.32804145953534, -76.68457044687997)",38,64,13995,0283a4c9-da7c-4fa6-a118-1e5dbf9cd3f8
485,unknown,,,War Memorial,1918,,21230,Carroll Park,Carroll Park,,,,,,,"Carroll Park21230
(39.28203353866178, -76.6312635584948)",250,168,27953,16279573-8245-47d0-aa57-cfb8ff0faa8f
486,Bonet,Jordi,,Unknown,1974,aluminum relief,21229,West Baltimore MS,201 North Bend Rd.,PS  80,Exterior,,,,,"201 North Bend Rd.21229
(39.2828564183186, -76.70573641574111)",257,280,27950,d15816b8-35d1-4e35-9a51-aedefe659258
487,James,Shawn,,,1999,mural,21230,1170 Carroll St.,1170 Carroll St.,,Side of building facing Ostend St.,Representative images of community and Baltimore,Visible,,,"1170 Carroll St.21230
(39.280967842057066, -76.63281938560544)",250,177,27953,0465ef89-46aa-4a27-a4c4-149590674db8
488,Leizman,William,,Unknown,1968,weathering steel,21229,Rognel Heights ES,4300 Sidehill Rd.,PS  89,Cafeteria wall exterior,,,,,"4300 Sidehill Rd.21229
(39.2977312046832, -76.69203074801459)",213,54,27950,6a88b928-2331-4960-85a4-87adff4cac10
489,Ellsberry,John,,,1987,mural,21211,600 W. 28th St.,600 W. 28th St.,,,,,,,"600 W. 28th St.21211
(39.33100999999999, -76.63518999999991)",102,20,14006,084d3c57-7265-42c8-8cf8-78a865130958
490,Henning,Herman,,Lady Baltimore,1880,limestone,21217,"Mt. Royal Dr., Reservoir Hill","Mt. Royal Dr., Reservoir Hill",,Narrow green strip allong Mt. Royal Terrace,,,,,"Mt. Royal Dr., Reservoir Hill21217
(39.31194000000011, -76.64039000000002)",195,19,27301,a14b4c04-a32e-4d5f-b6f0-66088941ff77
491,unknown,,,Untitled,,,21215,Strathmore Tower Condominium,6210 Park Heights Ave,,,,,,,"6210 Park Heights Ave21215
(39.35853436708419, -76.69366751410791)",58,249,27295,3af4a135-9965-4b1f-84f6-7da1e9fd24fc
492,Streett,Tylden,,turtle,1968,stainless steel,21230,Lakeland ES,2921 Stranden Rd.,,exterior,,,,,"2921 Stranden Rd.21230
(39.254161262019814, -76.64520850795124)",134,162,27953,db7c61f6-9558-4ba3-8523-8390a0ac53a8
493,Sanborn,James,,Patapsco River Project,1977,"concrete, steel, aluminum",21225/ Cherry Hill,Open space,Hanover and Reedbird Sts.,,Small park,,,,,"Hanover and Reedbird Sts.21225/ Cherry Hill
(39.22678000000002, -76.61608999999999)",,,27937,799b0991-7130-4ec8-8298-0fbe3fc8a7d0
494,Hoffmaster,Thomas,,Unknown,1973,welded metal wall sculptu,21202,Transit and Traffic Building,414 N. Calvert St.,,Interior,,,,,"414 N. Calvert St.21202
(39.29446666571687, -76.61265658570858)",65,6,13645,43dc20b5-205c-454e-b312-5fadcc0effe3
495,Schuler,Hans,,Fifth Regiment Armory Tablet,1923,bronze,21217,Fifth Regiment Armory,29th Division St. and Dolphin St.,,,,,,Y,"29th Division St. and Dolphin St.21217
(39.31194000000011, -76.64039000000002)",195,19,27301,16a61243-8c01-432d-ade3-421ff2ddf503
496,Drumm,Don,,Solar Totum IV,1975,corten steel,21213,Harford Heights ES,1901 N. Broadway,PS  36,Entrance plaza,,,,,"1901 N. Broadway21213
(39.31218396061025, -76.59495781180001)",226,155,26956,9e933a07-bfa3-4cf2-a61c-72f89d5b4dd2
497,"O'Connor, artist and Hastings, landscape architect",Andrew and Thomas,https://data.baltimorecity.gov/views/5xsg-uc29/files/Gw2-PpbnkYCT9cggckCxoLtF2zng9Is0TBVpV7S6RdE?filename=312_O%27Connor+A_1924.JPG,Lafayette Monument,1924,bronze,21201/02,Mount Vernon Sq.,Mount Vernon Sq.,,South of the Washington Monument,Lafayette seated on horse,highly visible,outdoor accessible,Y,"Mount Vernon Sq.21201/02
(39.294880000000035, -76.62253999999996)",224,90,13642,82f7051b-e00f-47e8-bdcf-e79a07451aa2
498,Stevens,David,,Unknown,1989,stained glass,21215,Arlington ES,3705 W. Rogers Ave.,PS 234,"Interior; front façade",,,,,"3705 W. Rogers Ave.21215
(39.35061134000608, -76.6853577785572)",5,244,27295,09a2b31a-6d92-4acc-84d0-3dccc5a943be
499,Veale,Archie,,,1994,mural,21223,400 N. Pulaski St.,400 N. Pulaski St.,,Side of wall on Pulaski St.,Boy planting seeds,Very visible,,,"400 N. Pulaski St.21223
(39.292804555825306, -76.65038238493479)",153,80,27632,b3d78aa0-c091-4ca7-b7d9-a8f2933a2c70
500,Lachaise,Gaston,,Standing Woman (Elevation),,,21218,The Wurtzburger Sculpture Garden,10 Art Museum Drive,,,,,,,"10 Art Museum Drive21218
(39.325933943522045, -76.61823238229022)",123,13,27307,ec5ccf19-cb0d-4b5c-b913-c89134b25a79
501,Takacs,Paul,,Knowledge,1974,weathering steel,21224,Southeast MS,6820 Fait St.,PS 255,"Exterior; right of entrance",,,,,"6820 Fait St.21224
(39.28482430743772, -76.53075540992066)",94,135,27935,e5bbe28c-d642-4261-bceb-09882b7fd092
502,Daniel,Paul,,Harpie,1978,steel and corten,21207,Liberty Recreation Center,3901 Maine Ave.,,Above entrance,,,,,"3901 Maine Ave.21207
(39.326392597757035, -76.68362208704065)",41,64,13995,51a21b20-cf07-4da7-ac48-36242e87cd2e
503,Hoffmaster,Thomas,,Unknown,1970,welded metal sculpture,21218,Waverly Branch Library,300 E. 33rd St.,,Interior,,,,,"300 E. 33rd St.21218
(39.32834412656058, -76.61336705011172)",177,35,27307,0fabd6e8-a14a-4de1-bbde-7eb7c340f4ab
504,Lawrence,Charles,,,2000,mural,21213,2124 Mura St.,2124 Mura St.,,Side of building with community park,"Baltimore locales: Washington Monument, Maryland Science Center",Visible,,,"2124 Mura St.21213
(39.30508765888288, -76.58733167736347)",23,153,26956,bb202554-cc67-4cab-87f5-07dd799022e6
505,Carfagno Ferguson,Mary,,,1997,mural,21223,Ramsey and Monroe Sts.,Ramsey and Monroe Sts.,,Side of two adjacent buildings,A boy and a girl playing marbles,Very visible,,,"Ramsey and Monroe Sts.21223
(39.28365000000008, -76.65196999999989)",36,279,27632,318008be-9f5f-40d4-be8a-5d39e4b298b1
506,Durang,Edward F.,,Thomas Wildey Monument,1865,marble,21231,Broadway and E. Fayette Sts.,Broadway and E. Fayette Sts.,,Median,,,,Y,"Broadway and E. Fayette Sts.21231
(39.28823000000011, -76.59190000000001)",240,287,27954,a8fe0dfe-cc21-45e4-bb3f-62eb493287f9
507,Woodward,William,,Unknown,1967,metal wall sculpture,21217,Eutaw Place ES,1624 Eutaw Pl.,PS 11,Exterior,,,,,"1624 Eutaw Pl.21217
(39.306769391077694, -76.62980665680732)",144,99,27301,10cd183c-a810-4d5b-a87e-4f512243ecda
508,Boudman,E. Clifton,,The What Knot - 'Linear Growth Structure',1968,painted steel,21216,Easterwood Park Recreation Center,1530 N. Bentalou St.,,Front lawn,,,,,"1530 N. Bentalou St.21216
(39.30544144632868, -76.6539240445626)",56,29,27297,5ca67806-240b-4802-908d-ad4817b9529e
509,Reed,Robert,,Unknown,,steel,21217,Maryland Institute College of Art,1300 Mt. Royal Ave.,,Fox Building lawn,,,,,"1300 Mt. Royal Ave.21217
(39.30750188439189, -76.62114988191786)",21,95,27301,9d2483d5-7004-493b-8028-6e59756749bd
510,Rattigan,Jenn,,,2006,mural,21211,36th Street and Roland Avenue,36th Street and Roland Avenue,,"On front side of building, 3rd floor",painted American flag commemorating Hampden,Very Visible,,,"36th Street and Roland Avenue21211
(39.33108705874997, -76.6326575076402)",102,73,14006,07a9c3f7-9acc-424f-b4ac-d07da900a996
511,Ferrandi,George,,,1990,mural,21218,2310 Harford Rd.,2310 Harford Rd.,,Side of building at top facing gas station,Carnival-like mural with amusement park rides in background and different style buildings in the foreground,Visible,,,"2310 Harford Rd.21218
(39.31602341475917, -76.59610006714917)",73,198,27307,951f721c-088d-44e7-9635-558640864e08
512,Edmister,Stan,,Untitled,,,21227,Hollins Ferry Playground,Hollins Ferry Playground,,,,,,,"Hollins Ferry Playground21227
(39.240729999999985, -76.67995000000002)",,,27944,ae44d375-6f1a-44a4-9449-46a5891d5813
